customer_state,total_price,total_freight,num_items,num_unique_sellers,total_payment,max_installments,main_payment_type,purchase_year,purchase_month,purchase_dayofweek,purchase_hour,is_weekend,estimated_delivery_days,freight_ratio,is_late
25,134.97,8.49,3.0,1.0,104.19,2.0,0,2016,9,3,12,0,18.488449074074072,0.06290240125656622,1
25,29.9,15.56,1.0,1.0,45.46,1.0,1,2016,10,0,9,0,23.59386574074074,0.5203839336477041,0
22,21.9,17.19,1.0,1.0,39.09,1.0,1,2016,10,0,16,0,34.29386574074074,0.7848956668645268,0
22,36.49,17.24,1.0,1.0,53.73,1.0,1,2016,10,0,21,0,56.11555555555555,0.47244526047518565,0
25,119.9,13.56,1.0,1.0,133.46,6.0,2,2016,10,0,22,0,50.07913194444444,0.11309330197412865,0
25,29.99,10.96,1.0,1.0,40.95,4.0,2,2016,10,0,22,0,50.06144675925926,0.3654429662232003,0
8,128.9,25.67,1.0,1.0,154.57,2.0,2,2016,10,0,22,0,58.05266203703704,0.1991450803329687,0
10,74.9,17.37,1.0,1.0,92.27,3.0,2,2016,10,0,22,0,52.04756944444444,0.23190611607321662,0
25,49.99,15.51,1.0,1.0,65.5,1.0,3,2016,10,1,9,0,50.62071759259259,0.3102558460522894,0
25,32.49,11.74,1.0,1.0,44.23,2.0,2,2016,10,1,9,0,50.613506944444445,0.36133083007602107,0
25,89.9,24.87,1.0,1.0,114.77,1.0,2,2016,10,1,9,0,50.58399305555555,0.276637634731538,0
13,189.0,48.45,1.0,1.0,237.45,4.0,2,2016,10,1,10,0,64.57217592592593,0.2563478500113756,0
23,199.0,15.98,1.0,1.0,214.98,7.0,2,2016,10,1,10,0,54.554664351851855,0.08030110401455269,0
19,148.0,30.11,1.0,1.0,178.11,4.0,2,2016,10,1,11,0,64.5394212962963,0.20344457132046403,0
10,299.99,19.01,1.0,1.0,319.0,10.0,2,2016,10,1,12,0,50.49570601851852,0.06336856772369838,0
25,9.9,8.72,1.0,1.0,18.62,1.0,2,2016,10,1,12,0,50.46299768518519,0.8807191192808808,0
12,47.8,53.64,2.0,1.0,101.44,10.0,2,2016,10,1,13,0,62.4503587962963,1.1221522562289492,0
10,249.9,17.59,1.0,1.0,267.49,10.0,2,2016,10,1,13,0,54.44738425925926,0.07038787359794478,0
25,128.9,16.04,1.0,1.0,144.94,3.0,2,2016,10,1,13,0,50.44731481481482,0.12443658311417287,0
15,149.9,27.38,1.0,1.0,177.28,1.0,1,2016,10,1,13,0,64.4465625,0.1826538848973656,0
18,67.9,18.98,1.0,1.0,86.88,1.0,4,2016,10,1,13,0,54.44240740740741,0.2795246019940796,0
7,99.9,19.53,1.0,1.0,119.43,1.0,1,2016,10,1,13,0,58.437349537037036,0.19549353860321717,0
18,89.9,17.51,1.0,1.0,107.41,1.0,2,2016,10,1,13,0,54.43005787037037,0.1947698023381275,0
10,379.9,18.22,1.0,1.0,398.12,10.0,2,2016,10,1,13,0,54.42699074074074,0.04795986322752507,0
18,93.9,17.61,1.0,1.0,111.51,4.0,2,2016,10,1,14,0,56.40738425925926,0.1875379388930895,0
22,39.99,22.34,1.0,1.0,62.33,1.0,1,2016,10,1,14,0,76.40011574074074,0.5586256907804256,0
25,249.9,17.59,1.0,1.0,267.49,4.0,2,2016,10,1,14,0,54.385729166666664,0.07038787359794478,0
18,249.9,14.03,1.0,1.0,263.93,2.0,2,2016,10,1,14,0,50.38248842592593,0.0561422323240003,0
23,119.8,29.74,2.0,1.0,149.54,7.0,2,2016,10,1,15,0,54.37299768518518,0.24824500630211765,0
5,249.9,27.91,1.0,1.0,277.81,4.0,2,2016,10,1,15,0,64.36989583333333,0.11168422695387373,0
25,89.9,27.96,1.0,1.0,117.86,6.0,2,2016,10,1,15,0,50.36788194444444,0.3110087763206193,0
25,69.99,17.58,1.0,1.0,87.57,7.0,2,2016,10,1,15,0,72.36645833333333,0.25117515109085453,0
10,136.9,17.39,1.0,1.0,154.29,8.0,2,2016,10,1,15,0,56.35028935185185,0.1270260991519419,0
25,109.9,11.23,1.0,1.0,121.13,6.0,2,2016,10,1,15,0,50.34393518518519,0.10218287367721858,0
13,89.0,32.01,1.0,1.0,121.01,1.0,2,2016,10,1,16,0,68.33173611111111,0.35965888023730064,0
25,49.9,11.74,1.0,1.0,61.64,2.0,2,2016,10,1,16,0,50.32952546296296,0.2352658263361456,0
25,59.9,14.86,1.0,1.0,74.76,2.0,2,2016,10,1,16,0,50.32717592592593,0.24807599205355504,0
25,59.9,14.86,1.0,1.0,74.76,2.0,2,2016,10,1,16,0,50.305474537037036,0.24807599205355504,0
18,129.8,33.4,2.0,1.0,163.2,5.0,2,2016,10,1,16,0,54.30417824074074,0.25731696982303676,0
25,57.0,8.77,1.0,1.0,65.77,1.0,2,2016,10,1,17,0,50.28565972222222,0.1538569498780723,0
25,139.9,21.34,1.0,1.0,161.24,3.0,2,2016,10,1,17,0,54.27420138888889,0.15253643648008233,0
10,149.99,23.41,1.0,1.0,173.4,1.0,1,2016,10,1,18,0,56.24818287037037,0.15607603122854036,0
25,99.9,16.27,1.0,1.0,116.17,1.0,2,2016,10,1,18,0,54.24486111111111,0.16286123262029406,1
25,86.99,28.23,1.0,1.0,115.22,5.0,2,2016,10,1,18,0,50.213240740740744,0.3245163292754423,0
18,57.9,14.61,1.0,1.0,72.51,1.0,2,2016,10,1,19,0,54.20748842592592,0.25232724823405467,0
18,949.99,29.92,1.0,1.0,979.91,10.0,2,2016,10,1,19,0,54.19063657407408,0.0314950352161231,0
4,19.99,20.8,1.0,1.0,40.79,1.0,1,2016,10,1,19,0,62.18717592592593,1.0404682106948127,0
22,949.99,32.42,1.0,1.0,982.41,6.0,2,2016,10,1,19,0,56.17925925925926,0.034126639094475636,0
25,149.9,19.33,1.0,1.0,169.23,5.0,2,2016,10,1,20,0,54.13755787037037,0.12895177483805978,0
10,199.99,17.31,1.0,1.0,217.3,3.0,2,2016,10,1,21,0,54.10726851851852,0.08655389492527163,0
10,69.9,19.48,1.0,1.0,89.38,4.0,2,2016,10,1,21,0,56.10237268518519,0.2786798472124862,0
18,399.0,48.49,1.0,1.0,447.49,3.0,2,2016,10,1,21,0,54.10006944444444,0.1215285174723873,0
25,71.0,11.69,1.0,1.0,82.69,1.0,1,2016,10,1,21,0,50.08689814814815,0.16464556837227642,1
18,119.8,29.66,2.0,1.0,149.46,7.0,2,2016,10,1,22,0,54.08071759259259,0.24757723224347042,0
25,49.9,15.56,1.0,1.0,65.46,1.0,2,2016,10,1,22,0,50.07278935185185,0.3118173984489289,0
17,79.8,29.04,2.0,1.0,108.84,1.0,1,2016,10,1,22,0,62.05990740740741,0.36390521422037314,0
10,19.9,14.52,1.0,1.0,34.42,3.0,2,2016,10,1,22,0,54.05309027777778,0.729611577307673,0
25,299.8,38.66,2.0,1.0,338.46,10.0,2,2016,10,1,23,0,54.03601851851852,0.1289522049626252,0
